"barcode","ptype","circ"
"21743005695978","6","5"
"21743003993821","2","5"
"21743001635770","0","5"
"21743004033338","0","5"
"21743003852928","0","5"
"21743002954121","4","5"
"21743005022876","0","5"
"21743005151139","0","5"
"21743003799285","6","5"
"21743003526522","4","5"
"21743004554523","0","5"
"21743002237063","0","5"
"21743005642798","6","5"
"21743002909315","2","5"
"21743002003747","2","5"
"21743005118385","2","5"
"21743005306378","0","5"
"21743004544144","0","5"
"21743005298872","0","5"
"21743001827617","0","5"
"21743003665502","6","5"
"21743004830774","0","5"
"21743004829388","0","5"
"21743004710653","0","5"
"21743004066486","3","5"
"21743005526397","0","5"
"21743004763629","0","5"
"21743005337902","6","5"
"21743005034889","2","5"
"21743004855904","0","5"
"21743003545928","2","5"
"21743003492006","0","5"
"21743004088837","0","5"
"21743003677168","4","5"
"21743005198296","0","5"
"21743005660543","2","5"
"21743005244439","1","5"
"21743002735769","0","5"
"21743002744241","0","5"
"21743003968716","6","5"
"21743003365533","0","5"
"21743005466875","0","5"
"21743003412756","0","5"
"21743003394392","2","5"
"21743005268412","0","5"
"21743003494226","2","5"
"21743005569884","6","5"
"21743005661244","19","5"
"21743005605167","2","5"
"21743005703558","1","5"
"21743005491204","1","5"
"21743005491345","2","5"
"21743005607767","0","5"
"21743005488739","2","5"
"21743005551841","6","5"
"21743005430277","0","5"
"21743005681838","0","5"
"21743005454145","1","5"
"21743005576061","0","5"
"21743005561261","1","5"
"21743005055678","0","5"
"21743005595517","2","5"
"21743005256268","0","5"
"21743005318068","2","5"
"21743005463831","1","5"
"21743005521042","3","5"
"21743005181532","0","5"
"21743005188107","0","5"
"21743005195946","0","5"
"21743005218961","0","5"
"21743005222203","0","5"
"21743005252556","6","5"
"21743005024013","2","5"
"21743005154703","0","5"
"21743005361910","0","5"
"21743005233838","6","5"
"21743005236575","2","5"
"21743005342803","0","5"
"21743005238100","0","5"
"21743005243290","1","5"
"21743005329909","0","5"
"21743005449871","3","5"
"21743005476114","1","5"
"21743005523907","2","5"
"21743005557822","0","5"
"21743005333760","2","5"
"21743005467048","0","5"
"21743004865465","0","5"
"21743004905261","5","5"
"21743005285424","4","5"
"21743005643408","6","5"
"21743005466842","0","5"
"21743005051909","6","5"
"21743005438957","0","5"
"21743005365929","2","5"
"21743005047857","2","5"
"21743005524301","0","5"
"21743005346747","0","5"
"21743004839742","0","5"
"21743005610985","0","5"
"21743005106497","0","5"
"21743005608062","0","5"
"21743005313143","7","5"
"21743005466982","0","5"
"21743005593280","0","5"
"21743004817599","1","5"
"21743005538574","2","5"
"21743000652107","0","5"
"21743004780235","0","5"
"21743002954493","4","5"
"21743005681374","19","5"
"21743005730155","0","5"
"21743005697347","6","5"
"21743005669247","2","5"
"21743005389820","0","5"
"21743005073929","4","5"
"21743003994647","0","5"
"21743003967882","0","5"
"21743004712253","0","5"
"21743003166683","0","5"
"21743002217693","2","5"
"21743004830196","0","5"
"21743004054615","2","5"
"21743004611687","0","5"
"21743004913398","0","5"
"21743003986023","0","5"
"21743003551934","0","5"
"21743004842902","0","5"
"21743004812236","6","5"
"21743004681797","0","5"
"21743000585422","0","5"
"21743004513743","6","5"
"21743004552386","2","5"
"21743004093225","2","5"
"21743000812537","0","5"
"21743004024121","0","5"
"21743004586566","0","5"
"21743004599601","0","5"
"21743003998515","0","5"
"21743003082112","4","5"
"21743004019766","0","5"
"21743004015368","0","5"
"21743004538385","0","5"
"21743004079885","4","5"
"21743001868462","2","5"
"21743002947588","0","5"
"21743004831772","0","5"
"21743004762092","19","5"
"21743002023182","0","5"
"21743005052873","6","5"
"21743005565189","0","5"
"21743005573340","2","5"
"21743005575535","0","5"
"21743005243894","1","5"
"21743005320940","2","5"
"21743004902722","0","5"
"21743005320361","0","5"
"21743005269063","0","5"
"21743004979290","7","5"
"21743005036546","3","5"
"21743001241025","0","5"
"21743005324074","0","5"
"21743005159777","0","5"
"21743003235454","2","5"
"21743000722587","0","5"
"21743003501509","4","5"
"21743004785267","4","5"
"21743004936183","2","5"
"21743005250857","0","5"
"21743003680709","0","5"
"21743005347885","2","5"
"21743001597574","4","5"
"21743002082667","2","5"
"21743004746384","10","5"
"21743005232889","7","5"
"21743001820497","0","5"
"21743004090635","3","5"
"21743004543732","2","5"
"21743005150644","0","5"
"21743004923421","0","5"
"21743005113428","2","5"
"21743005016456","0","5"
"21743005216346","0","4"
"21743003922432","0","4"
"21743005268461","0","4"
"21743005022876","0","4"
"21743005031430","10","4"
"21743003707973","5","4"
"21743004676904","10","4"
"21743005240528","2","4"
"21743005307046","0","4"
"21743004919767","2","4"
"21743005197892","0","4"
"21743003990512","4","4"
"21743001646728","2","4"
"21743005013602","0","4"
"21743004995916","0","4"
"21743005050075","12","4"
"21743004904371","4","4"
"21743005096466","0","4"
"21743004806147","2","4"
"21743004924007","0","4"
"21743003852076","0","4"
"21743005190699","0","4"
"21743005046990","2","4"
"21743005160213","19","4"
"21743005091418","2","4"
"21743004663076","8","4"
"21743005100870","6","4"
"21743005191481","0","4"
"21743003997772","0","4"
"21743005267612","0","4"
"21743004843314","0","4"
"21743004733598","0","4"
"21743005336227","2","4"
"21743005138458","2","4"
"21743005325592","2","4"
"21743005255237","0","4"
"21743005237664","0","4"
"21743005066691","6","4"
"21743004031761","0","4"
"21743005360292","2","4"
"21743005215678","0","4"
"21743005252077","2","4"
"21743001112028","8","4"
"21743004054706","0","4"
"21743002209203","2","4"
"21743003374444","2","4"
"21743005363940","2","4"
"21743005355292","4","4"
"21743005560636","1","4"
"21743005363957","0","4"
"21743003167160","0","4"
"21743005171616","9","4"
"21743005282140","10","4"
"21743005104286","0","4"
"21743004027694","6","4"
"21743002440584","0","4"
"21743004717609","0","4"
"21743003984366","2","4"
"21743003832789","0","4"
"21743003978046","0","4"
"21743002171833","6","4"
"21743004004685","2","4"
"21743004500195","2","4"
"21743002883718","0","4"
"21743000885616","0","4"
"21743003933256","0","4"
"21743001604743","12","4"
"21743004022307","0","4"
"21743002420412","4","4"
"21743004090502","10","4"
"21743004519310","0","4"
"21743004518890","0","4"
"21743003265337","2","4"
"21743003018140","2","4"
"21743004804787","0","4"
"21743004588281","2","4"
"21743005146261","0","4"
"21743005182233","0","4"
"21743004781258","0","4"
"21743004915781","2","4"
"21743000511519","4","4"
"21743003406014","0","4"
"21743003234358","0","4"
"21743004887733","0","4"
"21743004512174","0","4"
"21743004740254","8","4"
"21743004836466","0","4"
"21743004882189","0","4"
