id,checkouts,vendor,rundate,month,year
1258770,13,od,3/1/2019,2,2019
21743005376413,13,od,3/1/2019,2,2019
21743004592051,13,od,3/1/2019,2,2019
21743005104872,13,od,3/1/2019,2,2019
21743001612415,13,od,3/1/2019,2,2019
21743003980240,13,od,3/1/2019,2,2019
21743001108661,13,od,3/1/2019,2,2019
21743003232048,13,od,3/1/2019,2,2019
21743005470604,13,od,3/1/2019,2,2019
21743005352919,12,od,3/1/2019,2,2019
21743005345483,12,od,3/1/2019,2,2019
21743003209517,12,od,3/1/2019,2,2019
21743004085031,12,od,3/1/2019,2,2019
21743004040309,12,od,3/1/2019,2,2019
21743004004305,12,od,3/1/2019,2,2019
21743004037099,12,od,3/1/2019,2,2019
21743001668631,12,od,3/1/2019,2,2019
21743001483833,12,od,3/1/2019,2,2019
21743004738001,12,od,3/1/2019,2,2019
21743005390075,12,od,3/1/2019,2,2019
21743005323233,12,od,3/1/2019,2,2019
1261629,12,od,3/1/2019,2,2019
1234116,12,od,3/1/2019,2,2019
1233897,12,od,3/1/2019,2,2019
1253345,12,od,3/1/2019,2,2019
1166394,12,od,3/1/2019,2,2019
1213760,12,od,3/1/2019,2,2019
1222902,12,od,3/1/2019,2,2019
1192395,12,od,3/1/2019,2,2019
1212545,12,od,3/1/2019,2,2019
1031552,12,od,3/1/2019,2,2019
1024053,12,od,3/1/2019,2,2019
1063762,12,od,3/1/2019,2,2019
1016536,12,od,3/1/2019,2,2019
1017296,11,od,3/1/2019,2,2019
1274714,11,od,3/1/2019,2,2019
1275761,11,od,3/1/2019,2,2019
1071251,11,od,3/1/2019,2,2019
1102707,11,od,3/1/2019,2,2019
1093888,11,od,3/1/2019,2,2019
1095615,11,od,3/1/2019,2,2019
1213212,11,od,3/1/2019,2,2019
1155255,11,od,3/1/2019,2,2019
1119255,11,od,3/1/2019,2,2019
1251766,11,od,3/1/2019,2,2019
1245267,11,od,3/1/2019,2,2019
1246312,11,od,3/1/2019,2,2019
1233633,11,od,3/1/2019,2,2019
21743005378203,11,od,3/1/2019,2,2019
21743003073681,11,od,3/1/2019,2,2019
21743003567013,11,od,3/1/2019,2,2019
21743004823043,11,od,3/1/2019,2,2019
21743004731253,11,od,3/1/2019,2,2019
21743004010898,11,od,3/1/2019,2,2019
21743004589040,11,od,3/1/2019,2,2019
21743000434290,11,od,3/1/2019,2,2019
21743001227768,11,od,3/1/2019,2,2019
21743005244009,11,od,3/1/2019,2,2019
21743003873213,11,od,3/1/2019,2,2019
21743005239066,11,od,3/1/2019,2,2019
21743003805637,11,od,3/1/2019,2,2019
21743005050117,11,od,3/1/2019,2,2019
21743004998506,11,od,3/1/2019,2,2019
21743005170857,10,od,3/1/2019,2,2019
21743004859823,10,od,3/1/2019,2,2019
21743002738169,10,od,3/1/2019,2,2019
21743005260245,10,od,3/1/2019,2,2019
21743002340867,10,od,3/1/2019,2,2019
21743003862414,10,od,3/1/2019,2,2019
21743004734299,10,od,3/1/2019,2,2019
21743004043295,10,od,3/1/2019,2,2019
21743003536992,10,od,3/1/2019,2,2019
21743003146438,10,od,3/1/2019,2,2019
21743004096129,10,od,3/1/2019,2,2019
21743003981560,10,od,3/1/2019,2,2019
21743003353232,10,od,3/1/2019,2,2019
21743004918496,10,od,3/1/2019,2,2019
21743005027982,10,od,3/1/2019,2,2019
21743005217625,10,od,3/1/2019,2,2019
21743005380753,10,od,3/1/2019,2,2019
21743003463783,10,od,3/1/2019,2,2019
1233311,10,od,3/1/2019,2,2019
1232534,10,od,3/1/2019,2,2019
1241942,10,od,3/1/2019,2,2019
1243464,10,od,3/1/2019,2,2019
1256891,10,od,3/1/2019,2,2019
1271401,10,od,3/1/2019,2,2019
1184218,10,od,3/1/2019,2,2019
1217254,10,od,3/1/2019,2,2019
1208480,10,od,3/1/2019,2,2019
1206805,10,od,3/1/2019,2,2019
1099572,10,od,3/1/2019,2,2019
1107002,10,od,3/1/2019,2,2019
1072048,10,od,3/1/2019,2,2019
1051513,10,od,3/1/2019,2,2019
1023853,10,od,3/1/2019,2,2019
1044702,10,od,3/1/2019,2,2019
1037623,10,od,3/1/2019,2,2019
1276567,10,od,3/1/2019,2,2019
1274706,10,od,3/1/2019,2,2019
1019745,9,od,3/1/2019,2,2019
1030325,9,od,3/1/2019,2,2019
1033085,9,od,3/1/2019,2,2019
1055364,9,od,3/1/2019,2,2019
1057084,9,od,3/1/2019,2,2019
1048828,9,od,3/1/2019,2,2019
1057620,9,od,3/1/2019,2,2019
1077365,9,od,3/1/2019,2,2019
1090063,9,od,3/1/2019,2,2019
1082588,9,od,3/1/2019,2,2019
1101280,9,od,3/1/2019,2,2019
1207426,9,od,3/1/2019,2,2019
1211362,9,od,3/1/2019,2,2019
1194403,9,od,3/1/2019,2,2019
1223257,9,od,3/1/2019,2,2019
1222173,9,od,3/1/2019,2,2019
1220902,9,od,3/1/2019,2,2019
1226109,9,od,3/1/2019,2,2019
1185617,9,od,3/1/2019,2,2019
1179344,9,od,3/1/2019,2,2019
1122597,9,od,3/1/2019,2,2019
1125300,9,od,3/1/2019,2,2019
1153152,9,od,3/1/2019,2,2019
1271137,9,od,3/1/2019,2,2019
1272887,9,od,3/1/2019,2,2019
1272423,9,od,3/1/2019,2,2019
1263547,9,od,3/1/2019,2,2019
1264702,9,od,3/1/2019,2,2019
1242036,9,od,3/1/2019,2,2019
1238875,9,od,3/1/2019,2,2019
1232023,9,od,3/1/2019,2,2019
1251764,9,od,3/1/2019,2,2019
1251810,9,od,3/1/2019,2,2019
1250155,9,od,3/1/2019,2,2019
1256419,9,od,3/1/2019,2,2019
21743005572821,9,od,3/1/2019,2,2019
21743005378088,9,od,3/1/2019,2,2019
21743005481197,9,od,3/1/2019,2,2019
