P BARCODE,P TYPE,HOME LIBR,RECORD #
"21743004059853","0","r","p1085549x"
"21743004955407";"21743002078905","0","r","p1085664x"
"21743003148426","0","a","p10858064"
"21743002082667","2","r","p10859688"
"21743004032249","2","drive","p10860526"
"21743003981560","0","r","p10860897"
"21743004832614","0","c","p10861816"
"21743003979523","2","r","p10862328"
"21743003144110","0","r","p10862754"
"21743004950903","0","r","p10864106"
"21743004707543","0","m","p10869645"
"21743004091112","2","m","p10872619"
"21743003995719","4","g","p10873260"
"21743002123735","0","r","p10874501"
"21743003995107","0","a","p10876637"
"21743004551008","0","m","p10876972"
"21743005245865","0","r","p10877344"
"21743002129013","0","m","p10878981"
"21743004025938","0","m","p10879365"
"21743002132124","0","m","p10881475"
"21743004673216","0","m","p1088189x"
"21743002134831","0","c","p10883769"
"21743004891354","0","m","p10885183"
"21743002139673","19","l","p10887921"
"21743003976602","10","s","p10888822"
"21743002141059","2","s","p10889152"
"21743003214673","0","m","p10890105"
"21743003994019","2","m","p10890440"
"21743002147171","0","r","p10894238"
"21743004921672","2","m","p10899364"
"21743003996956","0","c","p10900639"
"21743002167583","0","r","p10903240"
"21743002168417","0","r","p10904037"
"21743002169225","0","m","p10904700"
"21743005642798","6","l","p10906885"
"21743002171833","6","l","p10907154"
"21743004045035","0","r","p10910980"
"21743005266432","0","r","p10911923"
"21743002180925","10","m","p10914936"
"21743005048004","0","m","p10914985"
"21743002181196","2","m","p10915163"
"21743005270731","0","m","p10916040"
"21743003713740","0","m","p10923135"
"21743004774576","0","drive","p10923421"
"21743002193712","6","l","p10926379"
"21743003572997","6","l","p10927669"
"21743004606778","0","s","p10929344"
"21743003126554","6","l","p1092999x"
"21743002203651","6","l","p10932306"
"21743002203768","6","l","p10932410"
"21743002206456","2","c","p10934960"
"21743002209203","2","a","p10937651"
"21743003974284","2","a","p10937900"
"21743002209815","2","m","p10938217"
"21743002211043","2","r","p10938886"
"21743004522413","2","a","p10939015"
"21743005267893","0","r","p10943092"
"21743002217693","2","m","p10945003"
"21743004520185","0","r","p10946329"
"21743002219491","0","r","p10946573"
"21743003980166","0","r","p10956153"
"21743005728951","0","r","p10957431"
"21743002236313","2","r","p1095823x"
"21743005037478","0","r","p10958617"
"21743004072997","10","drive","p10958733"
"21743002237063","0","r","p10958976"
"21743003438991","4","r","p10961690"
"21743005375886","0","m","p10962359"
"21743002241727","0","m","p1096342x"
"21743002242477","2","m","p10964149"
"21743004851523","2","m","p10964241"
"21743004664769","8","m","p10965178"
"21743004087763","0","m","p10965233"
"21743004906806","0","m","p10966869"
"21743004778254","2","m","p10969512"
"21743005565189","0","m","p10970411"
"21743002073336","0","c","p10981457"
"21743003832789","0","m","p10981603"
"21743003294139","0","drive","p10981974"
"21743004045068","0","r","p10982772"
"21743002267979","0","r","p10984057"
"21743003101409","2","r","p10984239"
"21743005198031","0","r","p10985694"
"21743004537668","0","drive","p10991438"
"21743004043444","0","m","p10992753"
"21743005144373","0","r","p10995298"
"21743003980117","10","r","p10995729"
"21743004668588","2","r","p10996102"
"21743003223211","0","r","p10996151"
"21743004032579","0","r","p10997040"
"21743003689312","0","r","p10999358"
"21743004554523","0","r","p11000636"
"21743005259767","0","m","p11004289"
"21743003981909","0","r","p11005014"
"21743005592134","2","a","p11006638"
"21743005376371","0","r","p11007308"
"21743002559771","0","r","p11009147"
"21743003245891","0","r","p11009329"
"21743005195193","0","r","p11009603"
